review,rating,date,bank,source,sentiment_label,sentiment_score
mehommd nuri,5,2025-10-13,CBE,google_play,Neutral,0.0
Best,5,2025-10-12,CBE,google_play,Positive,0.6369
providing very secure service.,5,2025-10-12,CBE,google_play,Positive,0.4005
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,google_play,Neutral,0.0
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,google_play,Neutral,0.0
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,google_play,Neutral,0.0
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,google_play,Negative,-0.296
Mamma Husen,2,2025-10-11,CBE,google_play,Neutral,0.0
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,google_play,Positive,0.2263
exceptional application from others bank,5,2025-10-10,CBE,google_play,Neutral,0.0
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,google_play,Positive,0.8124
good👍👍👍😊😊😊,5,2025-10-10,CBE,google_play,Positive,0.9633
really good app,5,2025-10-10,CBE,google_play,Positive,0.4927
smart bank CBE,5,2025-10-10,CBE,google_play,Positive,0.4019
Ali urgesa11,3,2025-10-09,CBE,google_play,Neutral,0.0
it's good,5,2025-10-09,CBE,google_play,Positive,0.4404
Good apps,5,2025-10-09,CBE,google_play,Positive,0.4404
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,google_play,Neutral,0.0
best app i ever seen,5,2025-10-09,CBE,google_play,Positive,0.6369
it's game changing in financial system,4,2025-10-09,CBE,google_play,Neutral,0.0
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,google_play,Neutral,0.0
will good updating,5,2025-10-09,CBE,google_play,Positive,0.4404
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,google_play,Negative,-0.2411
why removing screenshot feature why?,2,2025-10-08,CBE,google_play,Neutral,0.0
very good application! thank you all who participate!,5,2025-10-08,CBE,google_play,Positive,0.7608
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,google_play,Positive,0.908
user compatible app!,5,2025-10-08,CBE,google_play,Neutral,0.0
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,google_play,Positive,0.8891
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,google_play,Positive,0.8689
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,google_play,Positive,0.4926
Asledin Ibsa,5,2025-10-06,CBE,google_play,Neutral,0.0
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,google_play,Negative,-0.4767
my bank,5,2025-10-05,CBE,google_play,Neutral,0.0
Data,5,2025-10-04,CBE,google_play,Neutral,0.0
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,google_play,Negative,-0.5948
excellent app with lots of features,5,2025-10-04,CBE,google_play,Positive,0.5719
