review,rating,date,bank,source,sentiment_label,sentiment_score,clean_text,theme
you can't get your own transaction history,1,2025-09-29,CBE,google_play,Neutral,0.0,transaction history,Other
sintu,5,2025-09-29,CBE,google_play,Neutral,0.0,sintu,Other
BEST,5,2025-09-28,CBE,google_play,Positive,0.6369,well,Other
Bank of Ethiopia,5,2025-09-28,CBE,google_play,Neutral,0.0,bank ethiopia,Other
"All most Good, but need improvement",5,2025-09-27,CBE,google_play,Positive,0.7267,good need improvement,Other
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,google_play,Positive,0.9147,great application like rate solid work overall hello enjoy app,Other
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,google_play,Negative,-0.4767,poor app guy delete cbe download boa,Other
niceapp,5,2025-09-27,CBE,google_play,Neutral,0.0,niceapp,Other
the best app of all,5,2025-09-25,CBE,google_play,Positive,0.6369,good app,Other
❤️,5,2025-09-25,CBE,google_play,Neutral,0.0,,Other
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,google_play,Positive,0.1779,time try open app load circle keep spin try open message say attempt leave offline login mean app connect internet stable internet connection stuff work properly,Account Access Issues
Juhaar,5,2025-09-24,CBE,google_play,Neutral,0.0,juhaar,Other
I am using CBE app very fantastic.,5,2025-09-24,CBE,google_play,Positive,0.5984,cbe app fantastic,Other
bist app tankyou,4,2025-09-23,CBE,google_play,Neutral,0.0,bist app tankyou,Other
this is very useful and consistent app,5,2025-09-23,CBE,google_play,Positive,0.4927,useful consistent app,Other
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,google_play,Positive,0.4404,application provide timely service good fast reliable manner,Other
So good,5,2025-09-23,CBE,google_play,Positive,0.4927,good,Other
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,google_play,Positive,0.4927,well app feature receipt verifying qr code screenshot image gallery currently work direct camera capturing,Feature Requests
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,google_play,Positive,0.4404,ux perspective well old obvious find thing,Other
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,google_play,Positive,0.771,amazing app well possible transfer account telebirr,Other
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,google_play,Positive,0.6249,app great active app update lose connection message network error try fix client cbe app globally abroad country,Other
very important app,4,2025-09-21,CBE,google_play,Positive,0.2716,important app,Other
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,google_play,Positive,0.8807,good mobile banking ethiopia work perfectly fine,Other
DANTRO BAND!!!,5,2025-09-21,CBE,google_play,Neutral,0.0,dantro band,Other
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,google_play,Positive,0.5973,time transfer mobile account cbebirr wallet customer check thank cbe cbebirr application nice application wallet,Other
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,google_play,Positive,0.3708,app useful want specific transaction work way give,Other
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,google_play,Neutral,0.0,visit branch open account activate mobile banking service connected network maybe branch,Other
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,google_play,Neutral,0.0,አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,Other
asfaw damse,5,2025-09-19,CBE,google_play,Neutral,0.0,asfaw damse,Other
jabadhaa namatii tolataan,5,2025-09-19,CBE,google_play,Neutral,0.0,jabadhaa namatii tolataan,Other
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,google_play,Positive,0.5406,app good interface user friendly pro app additional feature let run multiple account single phone option additional account,User Interface & Experience
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,google_play,Positive,0.7003,app user friendly want amendment include option send money tele birr like cbe birr,Other
Truly amazing!,5,2025-09-18,CBE,google_play,Positive,0.7901,truly amazing,Other
Doesn't have option to generate statement for transactions,3,2025-09-18,CBE,google_play,Neutral,0.0,option generate statement transaction,Other
😎,5,2025-09-18,CBE,google_play,Positive,0.4588,,Other
JanaleBl,5,2025-09-17,CBE,google_play,Neutral,0.0,janalebl,Other
nice application,5,2025-09-17,CBE,google_play,Positive,0.4215,nice application,Other
WaaaaaaaW,1,2025-09-17,CBE,google_play,Neutral,0.0,waaaaaaaw,Other
